epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,19.7776,1.06818,3.89984,1.33526,0.40155,0.49,0.27659,0.24819,0.88578,2.88561,1.31989,0.00048,0.00048,0.00048
2,33.5375,0.90565,1.40131,1.18229,0.74149,0.51,0.62641,0.42269,1.18392,2.40785,1.54623,0.000973532,0.000973532,0.000973532
3,47.2571,0.91177,1.25055,1.20572,0.07957,0.11,0.02967,0.01281,2.9598,4.86109,4.04519,0.00146046,0.00146046,0.00146046
4,60.5717,0.89075,1.17766,1.19282,0.2876,0.455,0.1965,0.11347,1.25487,3.46769,1.83336,0.0019408,0.0019408,0.0019408
5,74.0522,0.91628,1.21387,1.19561,0.06429,0.1275,0.01317,0.005,3.32223,8.00419,4.23135,0.0019472,0.0019472,0.0019472
6,87.287,0.87842,1.22165,1.18934,0.85488,0.3775,0.43472,0.35416,1.12059,2.07208,1.57233,0.001934,0.001934,0.001934
7,100.407,0.80091,1.0379,1.13865,0.97904,0.39,0.46273,0.40338,0.94266,1.80712,1.33417,0.0019208,0.0019208,0.0019208
8,113.631,0.82038,1.07851,1.15165,0.87827,0.48701,0.62286,0.52592,0.75388,1.26838,1.20139,0.0019076,0.0019076,0.0019076
9,127.107,0.77169,1.05582,1.12261,0.84018,0.49944,0.65582,0.56054,0.66688,1.32072,1.09636,0.0018944,0.0018944,0.0018944
10,140.598,0.74607,1.00956,1.0976,0.40347,0.585,0.51531,0.4079,0.76995,1.81888,1.13751,0.0018812,0.0018812,0.0018812
11,154.25,0.71575,0.98461,1.08744,0.72648,0.505,0.55306,0.51487,0.57513,2.47131,1.03854,0.001868,0.001868,0.001868
12,167.382,0.74135,1.05704,1.09903,0.92616,0.5275,0.7153,0.61819,0.60641,0.99869,1.02431,0.0018548,0.0018548,0.0018548
13,180.905,0.73743,1.00387,1.09918,0.93076,0.5275,0.70833,0.62926,0.59488,0.93559,1.03524,0.0018416,0.0018416,0.0018416
14,194.3,0.73319,1.00879,1.11541,0.94311,0.5275,0.71177,0.63245,0.53215,0.95595,1.01713,0.0018284,0.0018284,0.0018284
15,207.914,0.69763,0.93912,1.07975,0.69945,0.52,0.5626,0.48817,0.5501,1.11815,1.02751,0.0018152,0.0018152,0.0018152
16,221.634,0.74483,1.05245,1.11955,0.77821,0.6275,0.81485,0.71105,0.54819,0.81835,0.99621,0.001802,0.001802,0.001802
17,235.406,0.74923,1.0486,1.11883,0.95304,0.5225,0.71882,0.63326,0.55247,0.99114,1.00167,0.0017888,0.0017888,0.0017888
18,249.036,0.72604,1.00432,1.09702,0.94451,0.5175,0.71584,0.6288,0.56731,0.9585,1.02052,0.0017756,0.0017756,0.0017756
19,262.41,0.7061,1.00273,1.09374,0.84511,0.525,0.66122,0.58352,0.64409,1.30973,1.10615,0.0017624,0.0017624,0.0017624
20,275.787,0.65366,0.91268,1.05708,0.80918,0.75268,0.88136,0.75397,0.52085,0.88337,0.99936,0.0017492,0.0017492,0.0017492
21,289.223,0.66275,0.93203,1.0677,0.92857,0.5225,0.75201,0.66142,0.51617,0.89235,0.98499,0.001736,0.001736,0.001736
22,302.341,0.70064,0.98399,1.10526,0.93845,0.525,0.74963,0.66558,0.52432,0.86705,0.98189,0.0017228,0.0017228,0.0017228
23,315.654,0.67007,0.92352,1.06938,0.66229,0.7125,0.69205,0.60633,0.51779,1.02845,0.99464,0.0017096,0.0017096,0.0017096
24,329.142,0.61365,0.84373,1.04385,0.67888,0.79808,0.8406,0.73922,0.48327,0.74956,0.99129,0.0016964,0.0016964,0.0016964
25,342.9,0.63434,0.86841,1.05103,0.67911,0.7625,0.78526,0.67883,0.55511,0.90789,1.08969,0.0016832,0.0016832,0.0016832
26,356.165,0.60861,0.83543,1.05085,0.79186,0.84648,0.89743,0.77827,0.50163,0.6716,1.0139,0.00167,0.00167,0.00167
27,369.552,0.60472,0.81792,1.05723,0.66914,0.775,0.73283,0.62567,0.53704,1.00535,1.06966,0.0016568,0.0016568,0.0016568
28,382.871,0.64289,0.84911,1.07656,0.76299,0.84506,0.89059,0.77177,0.49416,0.70413,1.0082,0.0016436,0.0016436,0.0016436
29,396.43,0.60829,0.82192,1.04865,0.72442,0.815,0.85585,0.74627,0.52295,0.79156,1.0382,0.0016304,0.0016304,0.0016304
30,409.577,0.65413,0.87796,1.0732,0.9541,0.5275,0.72436,0.63852,0.53346,1.12742,1.0568,0.0016172,0.0016172,0.0016172
31,422.689,0.6457,0.85088,1.06893,0.82987,0.8425,0.92487,0.78087,0.49387,0.72913,1.00704,0.001604,0.001604,0.001604
32,436.162,0.60102,0.81484,1.04845,0.75983,0.84,0.86138,0.74933,0.49251,0.73423,0.99679,0.0015908,0.0015908,0.0015908
33,449.377,0.57672,0.74119,1.03892,0.71785,0.76964,0.80261,0.69187,0.54093,0.83598,1.04224,0.0015776,0.0015776,0.0015776
34,462.702,0.58867,0.72403,1.04894,0.64201,0.785,0.79187,0.68246,0.55212,0.84223,1.04509,0.0015644,0.0015644,0.0015644
35,476.425,0.65079,0.83183,1.0771,0.85555,0.92,0.94581,0.81958,0.46472,0.56828,0.98411,0.0015512,0.0015512,0.0015512
36,489.83,0.60835,0.7896,1.04957,0.66074,0.785,0.80394,0.70621,0.50335,0.82721,1.00805,0.001538,0.001538,0.001538
37,503.069,0.63287,0.80868,1.05845,0.79961,0.8975,0.92225,0.79944,0.46996,0.59938,0.98159,0.0015248,0.0015248,0.0015248
38,516.451,0.60154,0.76538,1.0575,0.73431,0.87,0.87393,0.76808,0.46005,0.69896,0.98158,0.0015116,0.0015116,0.0015116
39,529.654,0.56926,0.74937,1.01271,0.60015,0.76549,0.76702,0.66794,0.52114,0.93955,1.02865,0.0014984,0.0014984,0.0014984
40,543.057,0.57076,0.76495,1.03856,0.70982,0.7725,0.80113,0.7051,0.51849,0.90034,1.04049,0.0014852,0.0014852,0.0014852
41,556.208,0.58918,0.77934,1.04331,0.78141,0.8675,0.87775,0.78057,0.45301,0.65664,0.98984,0.001472,0.001472,0.001472
42,569.577,0.55179,0.74087,1.02352,0.80633,0.85348,0.89775,0.79374,0.41719,0.62706,0.96345,0.0014588,0.0014588,0.0014588
43,582.703,0.56304,0.69856,1.03807,0.80855,0.8375,0.87663,0.75808,0.45504,0.68102,1.01142,0.0014456,0.0014456,0.0014456
44,596.295,0.577,0.69808,1.05231,0.83634,0.9075,0.93878,0.83278,0.41148,0.54562,0.96909,0.0014324,0.0014324,0.0014324
45,609.804,0.58574,0.76578,1.04717,0.74828,0.85,0.84509,0.73849,0.48633,0.781,1.01622,0.0014192,0.0014192,0.0014192
46,623.315,0.5841,0.75284,1.04701,0.83621,0.93171,0.95766,0.85564,0.39825,0.51972,0.94463,0.001406,0.001406,0.001406
47,636.903,0.54024,0.67845,1.03117,0.63375,0.7075,0.69084,0.59226,0.54762,1.16766,1.07602,0.0013928,0.0013928,0.0013928
48,649.994,0.55064,0.72605,1.03379,0.84422,0.8942,0.93392,0.82066,0.42404,0.56404,0.97517,0.0013796,0.0013796,0.0013796
49,663.611,0.55815,0.718,1.02551,0.80249,0.90403,0.91047,0.80928,0.41222,0.58487,0.96109,0.0013664,0.0013664,0.0013664
50,676.827,0.54472,0.70351,1.02535,0.76616,0.81911,0.85382,0.75207,0.47021,0.74332,0.99521,0.0013532,0.0013532,0.0013532
51,690.57,0.56811,0.72632,1.025,0.86256,0.8775,0.94712,0.8384,0.4101,0.54,0.95745,0.00134,0.00134,0.00134
52,703.985,0.58166,0.72041,1.0369,0.84894,0.88511,0.93174,0.83443,0.41362,0.55689,0.95552,0.0013268,0.0013268,0.0013268
53,717.121,0.5661,0.70402,1.03991,0.75661,0.80046,0.83098,0.69869,0.55236,0.84709,1.07114,0.0013136,0.0013136,0.0013136
54,730.482,0.55706,0.69738,1.03822,0.8708,0.91,0.94872,0.84435,0.40543,0.52601,0.96491,0.0013004,0.0013004,0.0013004
55,743.959,0.53251,0.68139,1.02255,0.81545,0.8925,0.91275,0.82384,0.39676,0.58321,0.95645,0.0012872,0.0012872,0.0012872
56,757.245,0.53729,0.69786,1.019,0.88573,0.9125,0.95527,0.85284,0.3971,0.51509,0.94567,0.001274,0.001274,0.001274
57,770.377,0.53209,0.66116,1.01347,0.82057,0.85747,0.89213,0.80112,0.42626,0.65344,0.98044,0.0012608,0.0012608,0.0012608
58,783.64,0.55015,0.7142,1.03301,0.81152,0.875,0.89657,0.76911,0.49923,0.69326,1.04847,0.0012476,0.0012476,0.0012476
59,797.262,0.51059,0.66604,0.9979,0.76624,0.815,0.84562,0.76089,0.41927,0.72193,0.9559,0.0012344,0.0012344,0.0012344
60,810.376,0.52753,0.69381,1.0112,0.79465,0.83,0.87444,0.76981,0.44085,0.68257,0.97809,0.0012212,0.0012212,0.0012212
61,823.72,0.54425,0.68732,1.02152,0.91345,0.9575,0.96548,0.84743,0.40735,0.52376,0.9679,0.001208,0.001208,0.001208
62,837.077,0.49469,0.61352,1.00223,0.81538,0.89437,0.91204,0.81518,0.41234,0.6207,0.96555,0.0011948,0.0011948,0.0011948
63,850.109,0.51297,0.63815,1.00447,0.9027,0.92772,0.96455,0.85924,0.4117,0.50714,0.96362,0.0011816,0.0011816,0.0011816
64,863.655,0.52236,0.65153,1.01384,0.76262,0.81922,0.84358,0.74405,0.44567,0.78243,0.99636,0.0011684,0.0011684,0.0011684
65,876.787,0.52191,0.64802,1.01744,0.81501,0.80405,0.87226,0.74349,0.48703,0.72225,1.04325,0.0011552,0.0011552,0.0011552
66,890.245,0.52104,0.65217,1.01693,0.81353,0.8725,0.87891,0.77934,0.40626,0.64889,0.96581,0.001142,0.001142,0.001142
67,903.467,0.48394,0.59806,0.97853,0.88649,0.9175,0.95202,0.85826,0.41025,0.51309,0.96058,0.0011288,0.0011288,0.0011288
68,917.24,0.51912,0.66553,1.00737,0.80589,0.8525,0.86849,0.76589,0.43012,0.67429,0.97489,0.0011156,0.0011156,0.0011156
69,930.805,0.53284,0.67286,1.02406,0.90425,0.89712,0.94679,0.83094,0.43471,0.52872,0.99794,0.0011024,0.0011024,0.0011024
70,944.205,0.53381,0.65745,1.02179,0.76893,0.8275,0.86168,0.76959,0.44177,0.70054,0.98861,0.0010892,0.0010892,0.0010892
71,957.817,0.49222,0.61195,0.97798,0.84526,0.91,0.93044,0.84872,0.36328,0.52024,0.92866,0.001076,0.001076,0.001076
72,971.334,0.46694,0.57494,0.98668,0.84307,0.8975,0.89984,0.78746,0.44492,0.63108,1.00717,0.0010628,0.0010628,0.0010628
73,984.808,0.50806,0.59396,1.01469,0.83298,0.88522,0.89803,0.81689,0.38436,0.61015,0.96406,0.0010496,0.0010496,0.0010496
74,998.188,0.50591,0.61448,1.00651,0.94577,0.95928,0.97771,0.89382,0.35279,0.43124,0.92857,0.0010364,0.0010364,0.0010364
75,1011.66,0.49027,0.58179,0.99648,0.84166,0.91691,0.89751,0.80551,0.40897,0.61258,0.96996,0.0010232,0.0010232,0.0010232
76,1025.65,0.48296,0.61043,0.98785,0.88216,0.93573,0.95561,0.87448,0.34641,0.48798,0.92447,0.00101,0.00101,0.00101
77,1038.96,0.51,0.6522,1.01089,0.78246,0.86327,0.87588,0.77398,0.40239,0.68471,0.97113,0.0009968,0.0009968,0.0009968
